predicted_labels	true_labels	lil_interpretations	gil_interpretations
27	9	"[('ll stay', -0.30474308133125305), (""' ll stay"", -0.32092611119151115), ('the same level', -0.3215656280517578), ('at the same level', -0.33442247100174427)]"	['Thank you. I appreciate it', 'I know. I get that a lot']
27	10	"[('s not happening', -0.31493852846324444), (""' s not happening"", -0.33229297306388617)]"	['bruh, in what way', 'What the fuck are you talking about']
27	27	[('that 2nd week', -0.4455754440277815)]	['Happy New Year to you, too!', 'Get you some!!']
27	22	[('first shot', -0.4963589012622833), ('~ 10', -0.4976343363523483), ('the 40 ', -0.5056036785244942), ('~ 10 shots', -0.5100453533232212), ('the 40  mark', -0.5127647072076797)]	"['Expected that. Thanks for your valuable feedback', ""Nope. Don't need rewards at all""]"
0	0	[('so cool', -0.34433799982070923), ('s so cool', -0.3529922217130661)]	"[""That sounds really cool! I'll be there"", 'This sounds like a great idea!']"
0	18	[('how lucky', -0.11513528600335121), ('know too', -0.11795993149280548), ('to know too', -0.12764742225408554), ('first ever', -0.1383107267320156), ('my first ever relationship', -0.1564065795391798)]	['That sounds really helpful, thanks so much', 'Expected that. Thanks for your valuable feedback']
0	15	[('loyalty , honesty', -0.2742622625082731)]	['Good luck and Godspeed', 'So, so good']
27	27	[('the law', -0.3585263639688492), ('due process', -0.36372770369052887), ('that claim', -0.3733903728425503), ('back up that claim', -0.38981222826987505), ('tam ##per ##ing', -0.3932588342577219)]	"[""Don't do that. Only villains do that"", ""You don't. Ever. It's robbery""]"
0	27	[('low budget', -0.35585425049066544), ('this amazing game', -0.3814056068658829), ('of this amazing game', -0.39651793614029884)]	['This sounds like a great idea!', 'That sounds really helpful, thanks so much']
27	2	[('creeping up', -0.1104603260755539), ('especially when', -0.1164149884134531), ('comes creeping up', -0.11735154688358307), ('those moments', -0.12078984454274178), ('a mistake', -0.12176551856100559)]	"[""That sounds really cool! I'll be there"", 'Customer probably lied to you. It happens']"
27	1	[('how blood', -0.14677810668945312), ('some people', -0.1535212229937315), ('some people are', -0.16378266364336014)]	['Wow, that was insane', 'Yeah, this seems weird to me, too']
27	22	[]	['If you enjoyed it, go for it', 'You mean not enough']
0	27	[]	['Happy New Year to you, too!', 'This sounds like a great idea!']
6	3	[('that bad', -0.12506819516420364)]	['bruh, in what way', 'What the fuck are you talking about']
27	3	[('about racism', -0.18350374326109886), ('just racist', -0.19213620014488697), ('do about racism', -0.19619088247418404), ('a post', -0.19743359088897705), ('white racist ##s', -0.2035467680543661)]	['damn it, you beat me to it', 'Wow, that was insane']
15	15	[('the back', -0.4474233016371727), ('he does', -0.45784374326467514), ('the way', -0.46303048357367516), ('thank you', -0.47618042305111885), ('in the back', -0.48300702311098576)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	3	[('more feel good', -0.06033322960138321), ('angry old conservatives', -0.07356693595647812), ('by angry old conservatives', -0.08009176794439554)]	['Expected that. Thanks for your valuable feedback', 'Thank you. I appreciate it']
18	27	[('to me', -0.24375629983842373)]	['So, so good', 'Heh I love this']
0	20	[('hoping so', -0.1848820112645626), ('sure hoping so', -0.19755245186388493)]	['That sounds really helpful, thanks so much', 'Expected that. Thanks for your valuable feedback']
0	3	[('##is ##fying', -0.12304415181279182)]	['Wow, that was insane', 'What a waste of money and time']
0	22	[('suggested before as', -0.21301508508622646), ('was suggested before as', -0.2262830901890993)]	['That was informative. Thank you', 'This sounds like a great idea!']
3	17	[('because of the act', 0.017854690551757812), ('the act', -0.004607111215591431), ('the over ##rea ##ction', -0.014061108231544495), ('everyone in these threads', -0.02937047928571701), ('in these threads', -0.03070496767759323)]	['damn it, you beat me to it', 'What a waste of money and time']
0	13	[('kind of', -0.13314612582325935), ('our demons', -0.13741977140307426), ('a funny story', -0.15599047020077705)]	['This sounds like a great idea!', 'Youre fantastic. Thanks! How cute']
3	2	[('##iate me', -0.10528511554002762)]	['damn it, you beat me to it', 'What a waste of money and time']
3	10	[('what the bloody hell', -0.01845794916152954), ('on byte ball', -0.031248435378074646), ('developing on byte ball', -0.04271472990512848), ('no one', -0.04902975261211395), ('the bloody hell', -0.058410584926605225)]	['What the fuck are you talking about', 'This is a joke, right...?']
3	27	[('choked scrolling up to', 0.05032426118850708), ('scrolling up to', 0.034950003027915955)]	['damn it, you beat me to it', 'Wow, that was insane']
0	20	[('worth it', -0.11955725215375423), ('for her', -0.12874605134129524), ('doing it alone', -0.12879887036979198), ('your baby girl', -0.13820862025022507)]	"[""That sounds really cool! I'll be there"", 'No worries. Have a nice day']"
0	22	[('no idea', -0.16450094431638718), ('a bible', -0.17544978111982346), ('no idea why', -0.17919368296861649), ('than a bible', -0.1894366852939129), ('have no idea why', -0.1935451701283455)]	['That sounds really helpful, thanks so much', 'That was so disgusting. VWP']
27	17	[('and i', -0.24333411641418934)]	['Cuddling. Lots of cuddling', 'such a cute boy!']
2	2	[('fucking crook', -0.310333076864481), ('you fucking crook', -0.3304951824247837)]	['damn it, you beat me to it', 'What the fuck are you talking about']
0	8	[('this format', -0.4972333759069443), ('in this format', -0.5202607847750187), ('the full scene', -0.5272919684648514)]	"[""That sounds really cool! I'll be there"", 'That was informative. Thank you']"
0	27	[('-LSB- name -RSB-', -0.3023913875222206), ('all these heroes', -0.3190926071256399), ('on -LSB- name -RSB-', -0.32513899728655815), ('has all these heroes', -0.3345063691958785)]	['That sounds really helpful, thanks so much', 'Expected that. Thanks for your valuable feedback']
0	0	"[('that shit', -0.13462970405817032), (""don ' t"", -0.13594771176576614), ('for you', -0.1377292349934578), ('an expense', -0.15129534527659416), ('worry about', -0.15588703751564026)]"	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	3	[('more practical', -0.3231662828475237), ('their shit', -0.33267680555582047), ('a giant plumbing network', -0.3364333864301443), ('##king away their shit', -0.3459681188687682)]	['bruh, in what way', 'And who would you vote for, exactly']
3	2	[('s not my fault', -0.09070643782615662), ('the fun', -0.09306775033473969), ('are au ##tist ##ic', -0.0975986197590828), ('my fault', -0.10718502104282379), ('au ##tist ##ic', -0.1100921705365181)]	['damn it, you beat me to it', 'Those ears...those horrible ears']
27	27	[('the ball', -0.6117348819971085), ('throwing the ball to', -0.6442619301378727)]	['No kill, only hug', 'Bingo, low tax zones around his mines']
0	17	[('like me', -0.2659352496266365), ('is lazy like me', -0.303210087120533)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	9	[('changing tables', -0.5274887569248676), ('were not available', -0.5416812039911747), ('my vehicle', -0.5464342646300793), ('to my vehicle', -0.560984380543232)]	['No kill, only hug', 'If you enjoyed it, go for it']
27	22	"[('know about', -0.38191159442067146), ('a little', -0.40021222084760666), (""' t know about"", -0.40831319242715836)]"	['If you enjoyed it, go for it', 'Cuddling. Lots of cuddling']
27	9	"[('to it', -0.09397338703274727), (""i '"", -0.10119428113102913), ('the middle east', -0.10152002796530724), ('in 2001', -0.10854970291256905), ('hate cold', -0.11486108601093292)]"	['Thank you. I appreciate it', 'I know. I get that a lot']
18	13	[('that one', -0.2035707887262106), ('do that one', -0.22222416242584586), ('to do that one', -0.2266461355611682)]	"[""That sounds really cool! I'll be there"", 'I look forward to it']"
0	27	[('this episode', -0.3775084801018238)]	"['This sounds like a great idea!', ""he's an awesome bro""]"
15	15	[('thanks , fixed', -0.7400781670585275)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
0	13	[('didn  t', -0.11288915574550629), ('they didn  t', -0.1266048699617386), ('more established', -0.13686249032616615), ('more established names', -0.1462809182703495)]	['Expected that. Thanks for your valuable feedback', 'That was informative. Thank you']
27	2	[('##ed up', -0.3711277302354574)]	['damn it, you beat me to it', 'Wow, that was insane']
27	4	[('this my', -0.20390375331044197), ('making this my', -0.21937896497547626)]	['Expected that. Thanks for your valuable feedback', 'That sounds really helpful, thanks so much']
27	3	[('eating dinner', -0.14311248809099197), ('awkward conversations', -0.15634839423000813), ('a lot', -0.1573292836546898), ('while eating dinner', -0.16257040295749903), ('of awkward conversations', -0.1697240830399096)]	['Yeah, this seems weird to me, too', 'Those ears...those horrible ears']
27	0	[]	['Wow, that was insane', 'Damn, that was dirty']
27	7	[('with someone', -0.23412189073860645), ('demise ##x ##ual', -0.23505166359245777), ('i am', -0.23506987653672695), ('know i am', -0.24384930171072483), ('casually intimate with someone', -0.24914722377434373)]	"['Wow, that was insane', ""Nope. Don't need rewards at all""]"
27	11	[('ridiculous ##ly expensive', -0.21931005641818047)]	['Wow, that was insane', 'damn it, you beat me to it']
27	11	[('s -LSB- name', -0.50872952491045)]	"['That was so disgusting. VWP', ""You're so special and quirky :D""]"
27	7	[('of this', -0.2020668275654316)]	['Fuck me, that is good', 'Damn, that was dirty']
27	1	[('to me', -0.1119278185069561), ('really odd', -0.12233155593276024), ('stock photos', -0.1282731592655182), ('so freak ##y', -0.13113726675510406), ('a 40 something', -0.13997761346399784)]	"['This is a joke, right...?', ""Genius. I'm so doing this""]"
15	1	[('no accidents', -0.4869511239230633), ('went well', -0.48792852833867073), ('thank you', -0.488300908356905), ('it went well', -0.5105883628129959), ('. no accidents', -0.5119798304513097)]	['That was informative. Thank you', 'Expected that. Thanks for your valuable feedback']
27	10	[('only one', -0.3819681219756603)]	"[""No it hasn't"", 'this is a thing? oh no']"
27	6	[('gas ##e', -0.2960822619497776), ('be wrong', -0.29844657331705093), ('more than', -0.30524603463709354)]	['bruh, in what way', 'And who would you vote for, exactly']
3	2	[('back in the game', 0.01998133957386017), ('belonged in the game', -0.03632110357284546), ('in the game', -0.06191366910934448), ('2nd half', -0.06483231484889984), ('the 2nd half adjustments', -0.08629160374403)]	['damn it, you beat me to it', 'This is a joke, right...?']
0	0	[('ran ##t', -0.28165269643068314), ('a quality', -0.28423041850328445), ('the good work', -0.30194833502173424)]	"[""That sounds really cool! I'll be there"", 'Happy New Year to you, too!']"
0	27	[('at least', -0.11517210304737091), ('at least for now', -0.1374083086848259), ('is still untouched', -0.14771230891346931)]	['Expected that. Thanks for your valuable feedback', 'Cuddling. Lots of cuddling']
0	0	[('enjoy every', -0.14152971655130386), ('for you', -0.14501336961984634), ('hu ##n', -0.16670255735516548), ('deeply in love', -0.17046555876731873), ('so happy for you', -0.18807152286171913)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	2	[('holy shit', -0.15741566196084023)]	['So, so good', 'damn it, you beat me to it']
27	27	[('much more', -0.34805266186594963), ('under ##age', -0.35546325147151947), ('the book', -0.36417490988969803), ('much more revealing', -0.3656437508761883), ('of filming', -0.3673874996602535)]	"[""Isn't that why [NAME] is playing him?"", ""I'm so glad you're annoyed""]"
0	4	[('most sensible', -0.3012520708143711), ('dot posts', -0.30165862664580345), ('lock ##up', -0.30394646152853966), ('after lock ##up', -0.32153734378516674), ('the most sensible things', -0.33831046149134636)]	['Awesome map!', 'Happy New Year to you, too!']
27	27	[('10 am', -0.34421434439718723), ('any ##how', -0.3486333806067705), ('before 10 am', -0.35541604831814766), ('from it', -0.3571418793871999)]	"[""Nope. Don't need rewards at all"", ""Speak for yourself. YOU don't care""]"
27	27	[('of it', -0.3219241015613079), ('rid of it', -0.3439040370285511), ('gender roles', -0.34531284123659134), ('gender and gender roles', -0.3634188221767545)]	"[""Why can't America be this cool?"", ""I'm [RELIGION] and I'm disgusting lol""]"
7	0	[('1 administration', -0.1599935069680214), ('been 1 administration back', -0.24325627274811268)]	['bruh, in what way', 'This is a joke, right...?']
27	17	[('around town', -0.10137581080198288), ('that lighting', -0.12905867770314217), ('no reason', -0.14094484597444534), ('saw that lighting', -0.1443164460361004), ('for no reason', -0.14521272666752338)]	['Wow, that was insane', 'damn it, you beat me to it']
10	6	[]	['Thank you. I appreciate it', 'Those ears...those horrible ears']
6	6	[('a year', -0.06053086370229721), ('the us', -0.0678725466132164), ('my tuition', -0.07875467836856842), ('9 ##k', -0.08445177227258682), ('my mind', -0.08803115785121918)]	['What the fuck are you talking about', 'bruh, in what way']
10	27	[('her hair', -0.06120987981557846), ('would work', -0.07401237264275551), ('with her hair', -0.09591861814260483), ('just creepy', -0.09867031127214432), ('playing with her hair', -0.11584807746112347)]	['Yeah, this seems weird to me, too', 'Wow, that was insane']
27	27	[('stay in', -0.4129483625292778), ('like you', -0.4159935303032398), ('no players', -0.42458152770996094), ('play and stay in', -0.4326203027740121)]	"['bruh, in what way', ""Speak for yourself. YOU don't care""]"
15	27	[('hi everyone', -0.28086759988218546)]	['Hi Disappointed, I’m Dad!', 'Happy New Year to you, too!']
7	27	[('on it', -0.16623064875602722), ('my opinion', -0.19372683763504028)]	['bruh, in what way', 'This is a joke, right...?']
27	0	[('just too cute', -0.1461269985884428)]	"[""Genius. I'm so doing this"", 'This just oozes passive-agressiveness. I love it!']"
7	27	[('far ##t', -0.25066472589969635), ('one far ##t', -0.2677163779735565), ('one far ##t ends', -0.3493358939886093), ('the next one', -0.3500218018889427), ('the next one begins', -0.3904983848333359)]	['bruh, in what way', 'Is this [NAME]?']
27	7	[('going on here', -0.24494802299886942)]	['Cuddling. Lots of cuddling', 'That was so disgusting. VWP']
24	25	"[('m sorry', -0.07451348006725311), (""' m sorry"", -0.10462291166186333), (""i ' m sorry"", -0.12099728314206004)]"	"[""I'm also happy you're still here!!"", ""I've wanted this for so long""]"
27	3	[('about * everything', -0.3371458165347576)]	['damn it, you beat me to it', 'Thank you. I appreciate it']
1	1	[('waited far too long', -0.09547614306211472), ('far too long', -0.10607169568538666), ('on that video', -0.1257767155766487), ('that video', -0.12726105749607086), (' cat', -0.13338826224207878)]	"['That was so disgusting. VWP', ""I'm not worthy to watch this haha""]"
27	2	[('valid ##ating', -0.1312422901391983), ('all this', -0.14269191958010197), ('moved on edit', -0.14794934168457985), ('about all this', -0.15754123404622078), ('13 but valid ##ating', -0.16072360426187515)]	['Expected that. Thanks for your valuable feedback', 'Yeah, this seems weird to me, too']
27	3	[('the answer', -0.23785019665956497), ('is no', -0.23976115137338638), ('a new chef', -0.23993760347366333), ('my cousin', -0.24379257671535015), ('this week', -0.24495245516300201)]	"['damn it, you beat me to it', ""No it hasn't""]"
0	20	[('just 100', -0.19722867012023926), ('just 100 %', -0.21977819502353668), ('just 100 % scale', -0.23260383773595095)]	['That sounds really helpful, thanks so much', 'Expected that. Thanks for your valuable feedback']
3	9	"[(""i ' m ins"", -0.0133465975522995), (""' m ins"", -0.02048662304878235), ('m ins', -0.05944438278675079)]"	['Wow, that was insane', 'damn it, you beat me to it']
15	4	[('the info', -0.32117848470807076), ('got it', -0.32688541151583195), ('a sl ##ur', -0.32988920621573925), ('for the info', -0.3424977492541075), ('just a general term', -0.3444667332805693)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	4	[('of people', -0.3376273550093174), ('them mad', -0.34402497857809067), ('get them mad', -0.35678589157760143), ('to get them mad', -0.3667373200878501), ('screens ##hot it for', -0.3674377929419279)]	['Yeah, this seems weird to me, too', 'Wow, that was insane']
27	27	[('a pathway', -0.2644171305000782), ('to citizenship', -0.26510122418403625), ('a pathway to citizenship', -0.28328778594732285), ('studying here', -0.2868087887763977)]	['Expected that. Thanks for your valuable feedback', 'DONT BE NEEDY. TALK TO OTHER GIRLS']
27	5	[('into you', -0.2947036512196064), ('move on', -0.3088847640901804)]	"['damn it, you beat me to it', ""Speak for yourself. YOU don't care""]"
15	0	[('my id', -0.5327285975217819), ('right now', -0.5341548249125481), ('a valid email', -0.5464025661349297), ('the process', -0.5644205771386623), ('in the process', -0.5862431600689888)]	"['That was informative. Thank you', ""I'm also happy you're still here!!""]"
15	0	[('the influence', -0.5122183561325073), ('something wrong', -0.535261332988739), ('that alone', -0.5691997334361076), ('the speed limit', -0.5782107561826706), ('under the influence', -0.580600380897522)]	['Thank you for your service', 'Thanks for this. I appreciate everyone involved']
27	27	[('the internet', -0.28818533569574356)]	"['Feel you pain. Stay strong', ""Don't endorse violence against people""]"
27	5	[('that case', -0.41976862773299217), ('in that case', -0.43344849068671465)]	['Expected that. Thanks for your valuable feedback', 'That was informative. Thank you']
3	6	[('can say that', 0.006419003009796143), ('say that', -0.03304057568311691)]	['Thank you. I appreciate it', 'damn it, you beat me to it']
0	26	[('sound amazing', -0.4662923440337181), ('they sound amazing :', -0.5371733531355858)]	"[""That sounds really cool! I'll be there"", 'This sounds like a great idea!']"
27	27	[('for sure', -0.26904451847076416), ('be stronger', -0.27513258531689644), ('gone mad', -0.2766823023557663), ('the plot', -0.2771712690591812), ('may be stronger', -0.29090756364166737)]	['Those ears...those horrible ears', 'damn it, you beat me to it']
15	15	[('for sharing', -0.640496987849474), ('thanks for sharing', -0.6658200668171048)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	7	[('home alone', -0.24975105188786983), ('filthy souls', -0.25464722514152527), ('with filthy souls', -0.2582566440105438), ('from home alone', -0.2582945814356208), ('-LSB- name -RSB-', -0.26241962891072035)]	"[""I feel like [NAME] isn't a legend"", ""I'm also happy you're still here!!""]"
0	0	[('the feedback', -0.24190394952893257)]	['That was informative. Thank you', 'Also thank you for the advice']
27	9	[]	['This is a joke, right...?', 'bruh, in what way']
27	2	"[('she is', -0.20633164793252945), ('s actually trash', -0.20844256319105625), ('how pure', -0.21204079128801823), (""' s actually trash"", -0.22217181511223316), ('how pure she is', -0.22882494935765862)]"	['damn it, you beat me to it', 'Wow, that was insane']
9	9	[('the rest', -0.09432277083396912), ('get good', -0.09830836020410061), ('like the rest', -0.10647661238908768), ('they ever get good', -0.11370228510349989)]	['Thank you. I appreciate it', 'damn it, you beat me to it']
27	7	[('many people', -0.25957781448960304), ('understand ##able', -0.26067040488123894), ('don  t', -0.26525663770735264)]	['That was so disgusting. VWP', 'Expected that. Thanks for your valuable feedback']
27	27	[('the handle', -0.3596499152481556), ('keep the handle', -0.3812508340924978), ('to keep the handle', -0.39617964532226324)]	"['Yeah, this seems weird to me, too', ""Nope. Don't need rewards at all""]"
27	27	[('to die', -0.5033923648297787), ('have to die', -0.5171423926949501)]	['If you enjoyed it, go for it', 'Feel you pain. Stay strong']
0	18	[('quite the romantic', -0.48504505306482315)]	"[""That sounds really cool! I'll be there"", ""he's an awesome bro""]"
4	20	[('can replace it easily', 0.1378498375415802), ('replace it easily', 0.11582770943641663), ('you abandoned it', 0.042097195982933044), ('abandoned it', 0.023197606205940247), ('a ts ##a agent', 0.01503060758113861)]	['Expected that. Thanks for your valuable feedback', 'That was informative. Thank you']
5	20	[('is play our best', 0.42766131460666656), ('all we can do', 0.341396227478981), ('hope your right', 0.2793358117341995), ('play our best', 0.26823846995830536), ('we can do', 0.22190837562084198)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
3	3	[('be here', -0.014401048421859741), ('d be here', -0.021464750170707703), ('hates the florida', -0.04892199486494064), ('the florida', -0.06838241964578629)]	['damn it, you beat me to it', 'I’m not crying. You’re crying']
27	9	[('##ise them', -0.07022731751203537), ('##vert ##ise them', -0.07856503129005432), ('so many', -0.08584104850888252), ('ad ##vert ##ise them', -0.10003072768449783), ('terrible air times', -0.11021937243640423)]	['What a waste of money and time', 'Those ears...those horrible ears']
0	18	[('have it', -0.20886824280023575)]	['Cuddling. Lots of cuddling', 'So, so good']
2	3	[('dammit ! !', -0.40559847094118595)]	['damn it, you beat me to it', 'Get out of my head']
27	10	[('really inaccurate', -0.17145599611103535)]	['Wow, that was insane', 'Those ears...those horrible ears']
0	5	[('my dude', -0.26963838562369347), ('for you', -0.2854422852396965)]	['Happy New Year to you, too!', 'Thank you. Hugs to you too']
27	22	[('federal investigation', -0.20982754603028297), ('all sides', -0.22188515402376652), ('bad people', -0.22210955247282982), ('its time', -0.22592790983617306), ('so called', -0.2271008249372244)]	['damn it, you beat me to it', 'Those ears...those horrible ears']
24	24	[('that pic', -0.07488073781132698), ('for you', -0.07864480838179588), ('sorry for you', -0.09912748634815216)]	"[""That sounds so terrible. I'm very sorry"", 'Thank you. I appreciate it']"
27	8	[('to be', -0.3419728949666023)]	['Those ears...those horrible ears', 'damn it, you beat me to it']
27	27	[('in her', -0.3153239917010069), ('0 . 05 hell', -0.33011976815760136)]	['That was so disgusting. VWP', 'Wow, that was insane']
27	6	[('that much', -0.3069283924996853), ('instead of', -0.31036821380257607), ('instead of 8', -0.31628863140940666), ('their division', -0.31651674769818783), ('were better', -0.3205444701015949)]	"[""Why can't America be this cool?"", ""Hmm. I don't disagree. It's unfortunate""]"
27	27	[('the head', -0.3113490007817745), ('on the head', -0.3225982654839754)]	['damn it, you beat me to it', 'Oh, Boy. You into phrenology too']
27	17	[('the road', -0.36073484271764755), ('of the road', -0.37365611642599106), ('a major traffic obstacle', -0.4145226590335369)]	['No kill, only hug', 'If you enjoyed it, go for it']
3	0	[('a customer of either', 0.06046131253242493), ('of either', 0.005745142698287964), ('will be again', -0.02436549961566925), ('be again', -0.0474628210067749), ('a customer', -0.06324013322591782)]	['damn it, you beat me to it', 'Those ears...those horrible ears']
27	7	[('cis person', -0.48382995277643204), ('as much', -0.499378327280283), ('their gender', -0.5009907260537148), ('really just', -0.5013630129396915), ('as cis person', -0.511633925139904)]	['bruh, in what way', 'You mean not enough']
27	27	[('likes you', -0.3064434193074703), ('in person', -0.31167896650731564), ('with her', -0.3135330118238926), ('ask her out', -0.3193450979888439), ('she likes you', -0.3204617314040661)]	['No worries. Have a nice day', 'Expected that. Thanks for your valuable feedback']
27	27	[('the menu', -0.41021655313670635), ('on contractors', -0.41045592725276947), ('on the menu', -0.4222086127847433), ('some regulations', -0.42260082997381687), ('his cr ##oni ##es', -0.42598156724125147)]	"[""WE'LL CALL IT A DRAW"", ""You don't. Ever. It's robbery""]"
18	17	[('this show', -0.3094988577067852)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	6	[('homosexual ##s', -0.2817169465124607), ('go right', -0.28731915540993214), ('ignore them', -0.296532966196537), ('can go right', -0.2988712601363659), ('a homo ##ph ##obe', -0.3077396210283041)]	"['damn it, you beat me to it', ""Speak for yourself. YOU don't care""]"
27	26	[('twenty years', -0.24284785240888596), ('in twenty years', -0.2606502268463373)]	['damn it, you beat me to it', 'What the fuck are you talking about']
0	27	[('sold out', -0.2413763627409935)]	['Yep. Happy New Years!', 'That was so disgusting. VWP']
0	1	[('have been', -0.3245746120810509), ('more fun', -0.32896777987480164), ('should have been', -0.3490808419883251), ('it should have been', -0.3659378783777356)]	['Cuddling. Lots of cuddling', 'This sounds like a great idea!']
6	27	[('your life', -0.06768909096717834), ('right now', -0.08235359191894531), ('doing man', -0.10443254560232162), ('in your life', -0.1089085191488266), ('really miserable', -0.12843603640794754)]	['What the fuck are you talking about', 'bruh, in what way']
27	3	[('a joke', -0.2858178745955229), ('to be', -0.2885014023631811), ('made a joke', -0.29832636192440987), ('pretended to be', -0.300106393173337)]	['damn it, you beat me to it', 'This is a joke, right...?']
15	15	[('you want', -0.5367897152900696), ('so sweet', -0.5475052278488874), ('if you want', -0.5656207837164402), ('s so sweet', -0.5684576611965895)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	27	[('with the', -0.218783188611269)]	"['Expected that. Thanks for your valuable feedback', ""Nope. Don't need rewards at all""]"
