predicted_labels	true_labels	lil_interpretations	gil_interpretations
3	3	[('in space', -0.8038747906684875), ('walk in space', -0.8721515461802483), ('to walk in space', -0.9264020770788193)]	['Who developed the first polio vaccine ?', 'Who won the Battle of Gettysburg ?']
2	2	[('a bio ##sphere', -0.3560822606086731), ('is a bio ##sphere', -0.3791370540857315)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
4	4	[('the big muddy', -0.6985934525728226), ('the us', -0.7170619070529938), ('as the big muddy', -0.798143744468689), ('in the us', -0.8094882592558861)]	['Where is the Danube ?', 'Where is Romania located ?']
2	2	[('bipolar disorder', -0.5287793576717377), ('is bipolar disorder', -0.619150348007679), ('what is bipolar disorder', -0.6715816576033831)]	['What is endometriosis ?', 'What is probability theory ?']
1	2	[('is cho ##les ##terol', 0.01394498348236084), ('cho ##les ##terol', -0.00012761354446411133)]	['What are binomial coefficients ?', 'What is paracetamol ?']
3	3	[('the macintosh computer', -0.8035795539617538), ('developed the macintosh computer', -0.8729987889528275)]	['Who developed the first polio vaccine ?', 'Who painted the Sistine Chapel ?']
2	2	[('caf ##fe ##ine', -0.41389378905296326), ('is caf ##fe ##ine', -0.4563702158629894)]	['What is paracetamol ?', 'What are binomial coefficients ?']
1	4	[('north and south', -0.13852190971374512)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
4	4	[('john wayne', -0.7125843912363052), ('john wayne airport', -0.826201930642128)]	['Where is Logan Airport ?', 'Where is Amsterdam ?']
4	4	[('the philippines', -0.6508724391460419), ('is the philippines in', -0.7778224274516106)]	['Where is Romania located ?', 'Where is Guam ?']
5	5	[('the kentucky derby', -0.276927649974823), ('at the kentucky derby', -0.30861276388168335), ('the horses', -0.42095059156417847), ('of the horses', -0.4949807822704315)]	['What U.S. Government agency registers trademarks ?', 'How many Canadians emmigrate each year ?']
4	4	[('the rocky mountains', -0.8193824589252472)]	['Where is Romania located ?', 'Where is Glasgow ?']
1	2	[('are invertebrates', -0.34467756748199463), ('what are invertebrates', -0.5179044753313065)]	['What type is a snail ?', 'What does the Peugeot company manufacture ?']
5	5	[('the earth', -0.38640153408050537), ('of the earth', -0.4267674684524536), ('the center', -0.4802347719669342)]	['What are binomial coefficients ?', 'What U.S. Government agency registers trademarks ?']
5	5	[('elected as president', -0.35566025972366333), ('get elected as president', -0.36950844526290894), ('as president', -0.3707401156425476)]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
5	5	[('when he died', -0.3424915075302124), ('he died', -0.3617062568664551), ('elvis presley', -0.3937811851501465)]	['What U.S. Government agency registers trademarks ?', 'What year was the NAACP founded ?']
5	5	[('in tennis', -0.1281576156616211), ('from the net', -0.269684374332428), ('the net', -0.3088940978050232), ('the service line', -0.3193719983100891)]	['How many Canadians emmigrate each year ?', 'How big is the largest diamond ?']
5	5	[('per day', -0.48619210720062256), ('have per day', -0.49385324120521545), ('how much', -0.49612945318222046)]	['What U.S. Government agency registers trademarks ?', 'How long does a dog sleep ?']
5	5	[('are there', -0.36945366859436035), ('how many', -0.4119005799293518)]	['How big is Australia ?', 'How many counties are in Indiana ?']
1	1	[('called linen', -0.34570232033729553), ('what plant', -0.38018253445625305), ('from what plant', -0.3895418643951416), ('made from what plant', -0.43474775552749634)]	['What causes pneumonia ?', 'What causes tuberculosis ?']
2	2	[('te ##fl ##on', -0.7120955288410187), ('is te ##fl ##on', -0.7406614348292351)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
2	2	[]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
2	2	[('a shaman', -0.4531589299440384), ('is a shaman', -0.53189667314291), ('what is a shaman', -0.6032709702849388)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
2	1	[('a female wal', -0.42468718998134136), ('a female wal ##rus', -0.442244378849864)]	['What are binomial coefficients ?', 'What is the plural of gulf ?']
1	1	[('turkey ##s', -0.21598461270332336), ('of turkey ##s', -0.3163151144981384)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[('rip van wink', -0.36700546741485596), ('##le sleep', -0.490777850151062)]	['What U.S. Government agency registers trademarks ?', 'When did Charles Lindbergh die ?']
1	2	[]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
5	5	[('a gallon', -0.5307923555374146), ('in a gallon', -0.6251600682735443)]	['What U.S. Government agency registers trademarks ?', 'How long does a dog sleep ?']
1	3	[('san francisco', -0.05553781986236572), ('in san francisco', -0.0901654064655304), ('the chocolate company', -0.20221641659736633)]	['What are binomial coefficients ?', 'What U.S. Government agency registers trademarks ?']
1	2	[('amp ##hi ##bians', -0.25852492451667786), ('are amp ##hi ##bians', -0.4312164634466171)]	['How does a hydroelectric dam work ?', 'How does hair curl ?']
3	3	[('x - rays', -0.7904654294252396), ('discovered x - rays', -0.8665210381150246)]	['Who developed the first polio vaccine ?', 'What U.S. Government agency registers trademarks ?']
3	3	[('can we talk', -0.7108877897262573)]	['What novel inspired the movie BladeRunner ?', 'When was Yemen reunified ?']
2	2	[('worn or outdated', -0.5574057400226593)]	['How does a hydroelectric dam work ?', 'How do storms form ?']
2	2	[('in engines', -0.6424418091773987)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[('elvis presley', -0.46015411615371704)]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
4	4	[('of yugoslavia', -0.6646079421043396), ('the capital', -0.7400233745574951)]	['Where is Romania located ?', 'Where is Guam ?']
4	4	[('is milan', -0.7409456223249435), ('where is milan', -0.8480017259716988)]	['Where is Glasgow ?', 'Where is Amsterdam ?']
5	5	[('the speed', -0.603760838508606), ('the speed humming', -0.6389808654785156)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
4	4	[('the united states', -0.769344300031662), ('in the united states', -0.8778043836355209)]	['Where is Romania located ?', 'Where is Guam ?']
1	4	[('moor ##head , minnesota', 0.14896291494369507), ('moor ##head', -0.005128204822540283), ('north dakota', -0.08349412679672241)]	['Who wrote The Godfather ?', 'Who won the Battle of Gettysburg ?']
1	1	[('do bats eat', -0.4935612380504608), ('what do bats eat', -0.6854590773582458)]	['What does the Peugeot company manufacture ?', 'What do river otters eat ?']
4	4	[('big ##horn', -0.5862942934036255), ('of big ##horn', -0.7217158079147339), ('the battle', -0.7274026721715927), ('take place in', -0.7360915988683701)]	['What province is Edmonton located in ?', 'Where is Romania located ?']
3	3	[('abraham lincoln', -0.8066849708557129), ('was abraham lincoln', -0.8800217434763908), ('who was abraham lincoln', -0.9323181994259357)]	['Who won the Battle of Gettysburg ?', 'Who painted the Sistine Chapel ?']
1	1	[('a newborn kangaroo', -0.5471257567405701)]	['What does the Peugeot company manufacture ?', 'What is Bombay duck ?']
2	2	[('spider veins', -0.4442765861749649), ('are spider veins', -0.5190285257995129), ('what are spider veins', -0.5607512407004833)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
5	5	[('did john lennon die', -0.4613780379295349), ('john lennon', -0.4797247648239136)]	['What U.S. Government agency registers trademarks ?', 'What year was the NAACP founded ?']
4	4	[('north america', -0.4430418610572815), ('from asia', -0.4942017197608948)]	['Where is Romania located ?', 'Who wrote The Godfather ?']
5	5	[('of seattle', -0.3584875464439392), ('the population', -0.4520472288131714)]	['What U.S. Government agency registers trademarks ?', 'What are binomial coefficients ?']
5	5	[('for the titanic', -0.23441791534423828), ('the titanic', -0.30570244789123535), ('a ticket', -0.49619558453559875)]	"['What U.S. Government agency registers trademarks ?', ""Why can 't ostriches fly ?""]"
4	4	[('the world', -0.6264353394508362), ('in the world', -0.7831908315420151)]	['Where is Romania located ?', 'Where is Guam ?']
3	3	[('west side story', -0.6759036332368851), ('the music', -0.7074865847826004)]	['What novel inspired the movie BladeRunner ?', 'When was Yemen reunified ?']
4	4	[('the america', -0.5879793167114258), ('of the america', -0.749724417924881)]	['Where is Logan Airport ?', 'Where is Romania located ?']
2	2	[('the ph scale', -0.36348190903663635), ('is the ph scale', -0.38934987410902977)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
1	1	[('used in australia', -0.4579906463623047), ('in australia', -0.4628879725933075), ('of currency', -0.511927604675293), ('is used in australia', -0.5491267442703247), ('what type', -0.6063604354858398)]	['What causes tuberculosis ?', 'What color are tennis balls ?']
5	5	[('st . louis', -0.14651530981063843), ('the gateway arch', -0.20677894353866577)]	['What U.S. Government agency registers trademarks ?', 'How long does a dog sleep ?']
5	5	[]	['What U.S. Government agency registers trademarks ?', 'How long does a dog sleep ?']
3	3	[('of alaska', -0.826486349105835)]	['Who won the Battle of Gettysburg ?', 'Who painted the Sistine Chapel ?']
2	2	[('a prism', -0.36450281739234924), ('is a prism', -0.4556630551815033), ('what is a prism', -0.5404977723956108)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[]	['When did Charles Lindbergh die ?', 'What U.S. Government agency registers trademarks ?']
3	3	[('in 1994', -0.7979454845190048), ('south africa', -0.8035285919904709), ('of south africa', -0.9083713069558144), ('president of south africa', -0.9505756609141827)]	['What U.S. Government agency registers trademarks ?', 'Who developed the first polio vaccine ?']
5	5	[('of china', -0.3778316378593445), ('the population', -0.49077150225639343)]	['What are binomial coefficients ?', 'What is the population of Kansas ?']
5	5	[('rosa parks', -0.38814181089401245)]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
2	2	[('a lady', -0.7090791165828705)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
2	2	[('##ox ##ici ##llin', -0.6599594354629517)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
3	3	[]	['Who won the Battle of Gettysburg ?', 'Who developed the first polio vaccine ?']
1	2	[]	['What are binomial coefficients ?', 'What does the Peugeot company manufacture ?']
4	4	[('come from', -0.768215149641037), ('ponce de leon', -0.8864936530590057)]	['Where is Romania located ?', 'Where is Mozambique located ?']
3	1	[('during which', -0.082562655210495), ('during which war', -0.12938182055950165), ('paper currency', -0.20821837335824966)]	['What U.S. Government agency registers trademarks ?', 'Madonna advertises for what soft drink ?']
2	2	[('desktop publishing', -0.7236867994070053), ('is desktop publishing', -0.7988539412617683), ('what is desktop publishing', -0.8509895093739033)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	"[(""the sun ' s"", -0.2676844000816345)]"	['What U.S. Government agency registers trademarks ?', 'What are binomial coefficients ?']
5	5	[('join the united nations', -0.13983535766601562), ('the united nations', -0.18770885467529297)]	['When did Charles Lindbergh die ?', 'What U.S. Government agency registers trademarks ?']
4	3	[('the us', -0.6803511679172516), ('in the us', -0.7864826023578644)]	['Where is Logan Airport ?', 'What does the Peugeot company manufacture ?']
4	4	[('prince edward', -0.6136064231395721), ('prince edward island', -0.6663121283054352)]	['Where is Glasgow ?', 'Where is Guam ?']
5	5	[('was it discovered', -0.30515503883361816)]	['When is the Thai New Year ?', 'When was Hurricane Hugo ?']
2	2	[('cry ##ogenic ##s', -0.6880730986595154), ('is cry ##ogenic ##s', -0.755644366145134)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
2	2	[('coral reefs', -0.4003895968198776), ('are coral reefs', -0.4506301134824753), ('what are coral reefs', -0.5092987567186356)]	['How does a hydroelectric dam work ?', 'Where is Romania located ?']
5	1	[('baseball - winning', -0.15772908926010132)]	['What are binomial coefficients ?', 'How long does a dog sleep ?']
2	2	[('ne ##uro ##logy', -0.7806897461414337), ('is ne ##uro ##logy', -0.8429101556539536)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
3	3	[]	['Who developed the first polio vaccine ?', 'Who won the Battle of Gettysburg ?']
2	2	[('measure earthquakes', -0.671252653002739)]	['How does a hydroelectric dam work ?', 'What are binomial coefficients ?']
3	3	[('duke ellington', -0.7916867285966873), ('is duke ellington', -0.8580611944198608), ('who is duke ellington', -0.913424015045166)]	['Who won the Battle of Gettysburg ?', 'Who painted the Sistine Chapel ?']
4	4	[('phoenix , az', -0.7873903959989548), ('phoenix , az in', -0.8474814593791962)]	['Where is Romania located ?', 'What province is Edmonton located in ?']
2	2	[]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[('what is the temperature', -0.2821497321128845), ('the temperature', -0.31048282980918884), ('is the temperature', -0.3108707368373871)]	['What are binomial coefficients ?', 'What is the frequency of VHF ?']
1	1	[('ohio state', -0.3675393760204315)]	['What is Bombay duck ?', 'What does the Peugeot company manufacture ?']
5	5	[]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
4	4	[('the u . s', -0.7494186758995056)]	['Where is the Danube ?', 'Where is Romania located ?']
1	1	[('poison arrow', -0.5690595209598541), ('a poison arrow frog', -0.7298912405967712)]	['What color are tennis balls ?', 'What plant is rum made from ?']
2	2	[]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[('the state of alaska', -0.16222542524337769), ('of alaska', -0.3022701144218445), ('the state', -0.32984602451324463), ('the coastline', -0.4177590012550354)]	['What U.S. Government agency registers trademarks ?', 'How many Canadians emmigrate each year ?']
3	3	"[(""neil armstrong ' s"", -0.5998215824365616)]"	['What book did Aaron Hass write ?', 'Who is Henry Butler ?']
1	1	[]	['What does the Peugeot company manufacture ?', 'What is Bombay duck ?']
3	3	[('in 1989', -0.7116170227527618)]	['Who won World War II ?', 'Who painted the Sistine Chapel ?']
5	5	[]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
1	1	[]	['What U.S. Government agency registers trademarks ?', 'Who wrote The Godfather ?']
5	5	[('won the world series', 0.054198503494262695), ('the world series', -0.005909860134124756), ('the chicago cubs', -0.00835871696472168)]	['How many people died on D-Day ?', 'What will the weather be today ?']
4	4	[('is perth', -0.7364802360534668), ('where is perth', -0.8388528451323509)]	['Where is Glasgow ?', 'Where is Romania located ?']
5	5	[('did wwii begin', -0.3127148151397705)]	['When did Iraqi troops invade Kuwait ?', 'When did Charles Lindbergh die ?']
5	5	[('a golf ball', -0.38096338510513306), ('of a golf ball', -0.46728289127349854)]	['What U.S. Government agency registers trademarks ?', 'What are binomial coefficients ?']
2	2	[('an eclipse', -0.6307672709226608), ('is an eclipse', -0.7380476891994476), ('what is an eclipse', -0.8092282488942146)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
3	3	[('discovered america', -0.6818460822105408), ('who discovered america', -0.8163926899433136)]	['Who won the Battle of Gettysburg ?', 'Who painted the Sistine Chapel ?']
5	5	[]	['What are binomial coefficients ?', 'How long does a dog sleep ?']
3	3	[('was unmarried', -0.6806220561265945), ('which president', -0.7487031668424606), ('which president was unmarried', -0.8512709885835648)]	['Who painted the Sistine Chapel ?', 'Who won the Battle of Gettysburg ?']
5	5	[('the milky way galaxy', -0.12840747833251953), ('milky way', -0.19796884059906006)]	['How fast is light ?', 'How big is Australia ?']
5	5	[('which season', -0.37196117639541626), ('most thunder ##storm ##s', -0.40797507762908936)]	['When did Iraqi troops invade Kuwait ?', 'When did Charles Lindbergh die ?']
2	2	[('is wimbledon', -0.41247761249542236), ('what is wimbledon', -0.49081215262413025)]	['What does the Peugeot company manufacture ?', 'How does a hydroelectric dam work ?']
5	5	[('a cat', -0.32578587532043457), ('for a cat', -0.34518247842788696)]	['What are binomial coefficients ?', 'How long does a dog sleep ?']
5	5	[('a nautical mile', -0.5182893872261047), ('is a nautical mile', -0.5371854901313782)]	['What U.S. Government agency registers trademarks ?', 'How fast is light ?']
3	3	"[('in 1859', -0.711418867111206), (""harper ' s"", -0.7399175465106964), ('the raid', -0.762924075126648), (""harper ' s ferry"", -0.8034351617097855)]"	['What U.S. Government agency registers trademarks ?', 'How many people died on D-Day ?']
2	2	[]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
1	1	[('go into space', -0.30054599046707153), ('into space', -0.31448787450790405), ('to go into space', -0.3800482153892517)]	['Who won the Battle of Gettysburg ?', 'Who wrote The Godfather ?']
2	2	[]	['What are binomial coefficients ?', 'What is object-oriented design ?']
4	1	[('near kentucky', -0.6268280446529388)]	['Where is Romania located ?', 'Where is the Danube ?']
4	4	[('the holland tunnel', -0.8265214711427689)]	['Where is Romania located ?', 'Where is the Danube ?']
3	3	[('amazing grace', -0.7247622311115265)]	['Who developed the first polio vaccine ?', 'Who painted the Sistine Chapel ?']
1	3	[('in baseball', -0.34978073835372925), ('play in baseball', -0.40585437417030334), ('willie davis', -0.458086758852005)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
1	2	[('plate ##lets', -0.12429425120353699), ('are plate ##lets', -0.24021852016448975), ('what are plate ##lets', -0.41242147237062454)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
5	2	[('is se ##verance pay', -0.26571857929229736), ('se ##verance pay', -0.29365187883377075)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
1	1	"[(""roy roger ' s"", -0.1612740159034729)]"	"['What are binomial coefficients ?', ""Name Dick Tracy 's two children""]"
4	4	[('the national archives', -0.7202916145324707)]	['Where is Amsterdam ?', 'Where is the Danube ?']
1	1	[('a baby turkey', -0.3243933320045471)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
2	2	[]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
1	1	[('the human body', -0.4535123407840729), ('in the human body', -0.47190061211586)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
3	3	[('a german philosopher', -0.8264364004135132), ('is a german philosopher', -0.8970440924167633)]	['Who won the Battle of Gettysburg ?', 'Who painted the Sistine Chapel ?']
1	1	[]	"['What is titanium ?', ""What 's a short ton ?""]"
2	2	[]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
2	2	[('nico ##tine', -0.3808846175670624), ('is nico ##tine', -0.4586780369281769), ('what is nico ##tine', -0.5122506245970726)]	['What is paracetamol ?', 'What exactly is radiation ?']
1	1	[('for vitamin b1', -0.2866681218147278), ('vitamin b1', -0.30956676602363586)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
3	3	[('ra ##dium', -0.7727815955877304), ('discovered ra ##dium', -0.8518268764019012), ('who discovered ra ##dium', -0.9176914989948273)]	['Who developed the first polio vaccine ?', 'Who painted the Sistine Chapel ?']
1	2	[('suns ##pot ##s', -0.12796297669410706)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
5	5	[('algeria colon', -0.29934149980545044)]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
3	3	[('the first', -0.6566599607467651), ('their uniform', -0.6821649521589279), ('of their uniform', -0.7464578449726105), ('part of their uniform', -0.7769684940576553)]	['Who won World War II ?', 'Who won the Battle of Gettysburg ?']
4	4	[('is egypt on', -0.751213550567627)]	['Where is Romania located ?', 'How big is Australia ?']
4	4	[('of mongolia', -0.6279177963733673), ('the capital', -0.7355329841375351)]	['Where is Romania located ?', 'Where is Guam ?']
2	2	[('nano ##tech ##nology', -0.704618439078331), ('is nano ##tech ##nology', -0.7833329513669014)]	['What are binomial coefficients ?', 'What is object-oriented design ?']
3	4	[('which colony', -0.26136697083711624), ('##ulate which colony', -0.29233089461922646)]	['When was the Congress of Vienna ?', 'How many Canadians emmigrate each year ?']
4	4	[('lower 48', -0.6456985771656036), ('the geographic center', -0.7701520323753357), ('the lower 48 states', -0.8413182199001312)]	['Where is Romania located ?', 'What province is Edmonton located in ?']
1	2	[('what are polymers', -0.29328949749469757)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
5	5	[('in the caribbean', -0.2835729122161865), ('the caribbean', -0.36955195665359497)]	['When is the Thai New Year ?', 'When is Bastille Day ?']
4	4	[('ma ##una lo ##a', -0.8437720909714699)]	['Where is Romania located ?', 'Where is Guam ?']
1	1	[('the northern lights', 0.07328122854232788)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
4	4	[('spain part', -0.6921011507511139), ('spain part of', -0.819564938545227), ('is spain part of', -0.8760952912271023)]	['Where is Romania located ?', 'Where is Guam ?']
5	5	[]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
4	4	[('of rain', -0.5218765735626221), ('per year', -0.5322215557098389), ('the least amount', -0.7566176503896713)]	['Where is Romania located ?', 'Where is Guam ?']
3	3	[('american red cross', -0.8802584633231163), ('founded american red cross', -0.920391671359539)]	['Who painted the Sistine Chapel ?', 'Who developed the first polio vaccine ?']
5	5	[('become the atlanta braves', -0.14881634712219238), ('the atlanta braves', -0.2187272310256958), ('the milwaukee braves', -0.2720178961753845)]	['What U.S. Government agency registers trademarks ?', 'When did Charles Lindbergh die ?']
5	5	[('is alcohol absorbed', -0.4912302792072296)]	['What U.S. Government agency registers trademarks ?', 'How long does a dog sleep ?']
5	5	[]	['When is Bastille Day ?', 'When is the Thai New Year ?']
2	2	[('super ##nova', -0.6570348590612411), ('is super ##nova', -0.7486833482980728), ('what is super ##nova', -0.8067595139145851)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
4	4	[]	['Where is Romania located ?', 'Where is Glasgow ?']
1	4	[('live free or die', -0.20024695992469788), ('live free', -0.20433634519577026)]	['What U.S. Government agency registers trademarks ?', 'How many people died on D-Day ?']
4	4	[]	['Where is Glasgow ?', 'Where is Romania located ?']
5	5	[('the first stamp', -0.4512770175933838)]	['What U.S. Government agency registers trademarks ?', 'When is the Thai New Year ?']
1	1	[('to make orange', -0.22339171171188354), ('mix to make orange', -0.2613499164581299), ('make orange', -0.2660009264945984)]	['What causes pneumonia ?', 'What are binomial coefficients ?']
5	5	[('from the sun', -0.19359439611434937), ('the sun', -0.2548162341117859)]	['Where is Romania located ?', 'When did Charles Lindbergh die ?']
4	4	[('of water', -0.581956684589386), ('what body', -0.7067607492208481), ('the canary islands', -0.8223293051123619), ('the canary islands in', -0.8578727580606937)]	['Where is Romania located ?', 'How big is Australia ?']
2	2	[('ne ##uro ##pathy', -0.6923116222023964), ('is ne ##uro ##pathy', -0.7557475306093693)]	['What are binomial coefficients ?', 'What is endometriosis ?']
2	2	[('crypt ##ography', -0.5764666497707367), ('is crypt ##ography', -0.6766895800828934), ('what is crypt ##ography', -0.7983487769961357)]	['What is object-oriented design ?', 'What are binomial coefficients ?']
1	1	[('natural gas', -0.010974645614624023), ('composed of', -0.03929167985916138)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
3	3	[('of canada', -0.7694420218467712)]	['Who painted the Sistine Chapel ?', 'Who won the Battle of Gettysburg ?']
3	3	[('of waterloo', -0.7350103408098221), ('the battle', -0.7376655638217926), ('the battle of waterloo', -0.8748972192406654)]	['Who painted the Sistine Chapel ?', 'Who won the Battle of Gettysburg ?']
2	2	[('is leukemia', -0.515644371509552), ('what is leukemia', -0.6033295728266239)]	['What is endometriosis ?', 'What are binomial coefficients ?']
4	4	[('howard hughes', -0.568990021944046)]	['Where is Logan Airport ?', 'Where is the Isle of Man ?']
1	1	[('for june', -0.24058854579925537)]	['What does the Peugeot company manufacture ?', 'What are binomial coefficients ?']
2	1	[('in minnesota', -0.6088354177772999)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
5	5	[('to the sun', -0.37821316719055176), ('the sun', -0.38250070810317993), ('the earth', -0.42931270599365234), ('from the earth', -0.49571123719215393), ('in miles', -0.5557787120342255)]	['How big is the largest diamond ?', 'How many watts make a kilowatt ?']
5	5	[('a chicken', -0.32938307523727417), ('for a chicken', -0.34668058156967163)]	['What are binomial coefficients ?', 'What U.S. Government agency registers trademarks ?']
5	5	[]	['What U.S. Government agency registers trademarks ?', 'When did Charles Lindbergh die ?']
2	2	[('relative humidity', -0.3595346733927727), ('is relative humidity', -0.38757550716400146), ('what is relative humidity', -0.4146146774291992)]	['What are binomial coefficients ?', 'How does a hydroelectric dam work ?']
4	4	[('35 ##8 ##24', -0.7426130771636963), ('the zip code', -0.7473419606685638), ('of 35 ##8 ##24', -0.841629184782505)]	['Where is Romania located ?', 'What is the capital of Italy ?']
1	1	[('in algeria', -0.5014922618865967), ('used in algeria', -0.5066373348236084), ('is used in algeria', -0.5976125299930573)]	['What U.S. Government agency registers trademarks ?', 'Who won World War II ?']
3	3	[]	['Who developed the first polio vaccine ?', 'Who won the Battle of Gettysburg ?']
1	1	[('most popular', -0.416079580783844), ('in 1957', -0.47491878271102905)]	['What U.S. Government agency registers trademarks ?', 'Who won World War II ?']
1	1	[('##ram ##i', -0.07407855987548828), ('made of', -0.16826316714286804)]	['What are binomial coefficients ?', 'What does the Peugeot company manufacture ?']
3	1	[('in 1957', -0.2977691739797592), ('into space', -0.3365359455347061), ('the satellite', -0.34398628026247025), ('the soviet union', -0.3573237434029579)]	"[""What is Goldfinger 's first name ?"", 'How many people died on D-Day ?']"
